id;trackId;aircraftId;latitude;longitude;bearing;altitude;speed;squawk;radarId;equipmentType;registration;eventTimestamp;origin;destination;flightNumber;onground;vspeed;callsign;eta
19439817;24936159;3958344;48.3516;11.795;354;0;0;16708;5681;A321;D-AIRH;1373787777;MUC;LHR;LH2472;0;0;DLH9LT;0
19444253;24936159;3958344;48.3516;11.795;354;0;0;16708;5681;A321;D-AIRH;1373787842;MUC;LHR;LH2472;0;0;DLH9LT;0
19445285;24936159;3958344;48.3516;11.795;354;0;0;16708;5681;A321;D-AIRH;1373787857;MUC;LHR;LH2472;0;0;DLH9LT;0
19459181;24936159;3958344;48.3619;11.8064;84;0;32;16708;5681;A321;D-AIRH;1373788057;MUC;LHR;LH2472;0;0;DLH9LT;0
19459433;24936159;3958344;48.362;11.8075;84;0;32;16708;5681;A321;D-AIRH;1373788062;MUC;LHR;LH2472;0;0;DLH9LT;0
19459786;24936159;3958344;48.3621;11.8085;84;0;32;16708;5681;A321;D-AIRH;1373788067;MUC;LHR;LH2472;0;0;DLH9LT;0
19460147;24936159;3958344;48.3622;11.8096;84;0;28;16708;5681;A321;D-AIRH;1373788072;MUC;LHR;LH2472;0;0;DLH9LT;0
19460586;24936159;3958344;48.3622;11.8101;84;0;28;16708;5681;A321;D-AIRH;1373788077;MUC;LHR;LH2472;0;0;DLH9LT;0
19460858;24936159;3958344;48.3623;11.8112;84;0;28;16708;5681;A321;D-AIRH;1373788082;MUC;LHR;LH2472;0;0;DLH9LT;0
19461938;24936159;3958344;48.3626;11.8146;84;0;32;16708;5681;A321;D-AIRH;1373788097;MUC;LHR;LH2472;0;0;DLH9LT;0
19462239;24936159;3958344;48.3627;11.8155;84;0;28;16708;5681;A321;D-AIRH;1373788102;MUC;LHR;LH2472;0;0;DLH9LT;0
19462840;24936159;3958344;48.3627;11.8163;84;0;24;16708;5681;A321;D-AIRH;1373788112;MUC;LHR;LH2472;0;0;DLH9LT;0
19463556;24936159;3958344;48.3629;11.8188;78;0;20;16708;5681;A321;D-AIRH;1373788122;MUC;LHR;LH2472;0;0;DLH9LT;0
19463933;24936159;3958344;48.363;11.8192;56;0;16;16708;5681;A321;D-AIRH;1373788127;MUC;LHR;LH2472;0;0;DLH9LT;0
19464289;24936159;3958344;48.3632;11.8194;48;0;16;16708;5681;A321;D-AIRH;1373788132;MUC;LHR;LH2472;0;0;DLH9LT;0
19464731;24936159;3958344;48.3636;11.8199;30;0;16;16708;5681;A321;D-AIRH;1373788137;MUC;LHR;LH2472;0;0;DLH9LT;0
19465833;24936159;3958344;48.3647;11.82;354;0;12;16708;5681;A321;D-AIRH;1373788152;MUC;LHR;LH2472;0;0;DLH9LT;0
19466354;24936159;3958344;48.3653;11.8199;352;0;12;16708;5681;A321;D-AIRH;1373788162;MUC;LHR;LH2472;0;0;DLH9LT;0
19466842;24936159;3958344;48.3654;11.8199;352;0;12;16708;5681;A321;D-AIRH;1373788167;MUC;LHR;LH2472;0;0;DLH9LT;0
19467098;24936159;3958344;48.366;11.8198;354;0;16;16708;5681;A321;D-AIRH;1373788172;MUC;LHR;LH2472;0;0;DLH9LT;0
19467515;24936159;3958344;48.3661;11.8198;354;0;16;16708;5681;A321;D-AIRH;1373788177;MUC;LHR;LH2472;0;0;DLH9LT;0
19467940;24936159;3958344;48.3666;11.8196;340;0;8;16708;5681;A321;D-AIRH;1373788182;MUC;LHR;LH2472;0;0;DLH9LT;0
19468650;24936159;3958344;48.3668;11.8193;296;0;4;16708;5681;A321;D-AIRH;1373788192;MUC;LHR;LH2472;0;0;DLH9LT;0
19470000;24936159;3958344;48.3667;11.8186;264;0;12;16708;5681;A321;D-AIRH;1373788212;MUC;LHR;LH2472;0;0;DLH9LT;0
19470397;24936159;3958344;48.3666;11.8177;264;0;36;16708;5681;A321;D-AIRH;1373788217;MUC;LHR;LH2472;0;0;DLH9LT;0
19470677;24936159;3958344;48.3665;11.8163;264;0;56;16708;5681;A321;D-AIRH;1373788222;MUC;LHR;LH2472;0;0;DLH9LT;0
19471183;24936159;3958344;48.3663;11.814;264;0;80;16708;5681;A321;D-AIRH;1373788227;MUC;LHR;LH2472;0;0;DLH9LT;0
19472023;24936159;3958344;48.3658;11.8066;264;0;120;16708;5681;A321;D-AIRH;1373788237;MUC;LHR;LH2472;0;0;DLH9LT;0
19472261;24936159;3958344;48.3655;11.8025;264;0;140;16708;5681;A321;D-AIRH;1373788242;MUC;LHR;LH2472;0;0;DLH9LT;0
19472979;24936159;3958344;48.3649;11.7956;264;0;160;16708;5681;A321;D-AIRH;1373788252;MUC;LHR;LH2472;0;0;DLH9LT;0
19473339;24936159;3958344;48.3639;11.7825;264;1530;180;16708;5681;A321;D-AIRH;1373788257;MUC;LHR;LH2472;0;0;DLH9LT;0
19473706;24936159;3958344;48.3635;11.7777;264;1700;176;16708;5681;A321;D-AIRH;1373788262;MUC;LHR;LH2472;0;0;DLH9LT;0
19474448;24936159;3958344;48.3629;11.7704;262;2000;172;16708;5681;A321;D-AIRH;1373788272;MUC;LHR;LH2472;0;0;DLH9LT;0
19474844;24936159;3958344;48.362;11.7595;264;2350;176;16708;5681;A321;D-AIRH;1373788277;MUC;LHR;LH2472;0;0;DLH9LT;0
19475126;24936159;3958344;48.3616;11.7531;264;2580;180;16708;5681;A321;D-AIRH;1373788282;MUC;LHR;LH2472;0;0;DLH9LT;0
19475616;24936159;3958344;48.3612;11.7473;264;2780;180;16708;5681;A321;D-AIRH;1373788287;MUC;LHR;LH2472;0;0;DLH9LT;0
19476460;24936159;3958344;48.3603;11.7345;264;3250;176;16708;5681;A321;D-AIRH;1373788297;MUC;LHR;LH2472;0;0;DLH9LT;0
19476717;24936159;3958344;48.3599;11.7284;264;3400;180;16708;5681;A321;D-AIRH;1373788302;MUC;LHR;LH2472;0;0;DLH9LT;0
19477093;24936159;3958344;48.3594;11.7223;264;3530;184;16708;5681;A321;D-AIRH;1373788307;MUC;LHR;LH2472;0;0;DLH9LT;0
19477855;24936159;3958344;48.3585;11.7089;264;3800;192;16708;5681;A321;D-AIRH;1373788317;MUC;LHR;LH2472;0;0;DLH9LT;0
19478119;24936159;3958344;48.3582;11.7033;268;3900;196;16708;5681;A321;D-AIRH;1373788322;MUC;LHR;LH2472;0;0;DLH9LT;0
19478515;24936159;3958344;48.3581;11.6978;272;3980;200;16708;5681;A321;D-AIRH;1373788327;MUC;LHR;LH2472;0;0;DLH9LT;0
19478884;24936159;3958344;48.3587;11.6885;280;4130;204;16708;5681;A321;D-AIRH;1373788332;MUC;LHR;LH2472;0;0;DLH9LT;0
19479283;24936159;3958344;48.36;11.6809;286;4280;208;16708;5681;A321;D-AIRH;1373788337;MUC;LHR;LH2472;0;0;DLH9LT;0
19479557;24936159;3958344;48.3616;11.6737;292;4430;216;16708;5681;A321;D-AIRH;1373788342;MUC;LHR;LH2472;0;0;DLH9LT;0
19480075;24936159;3958344;48.3637;11.667;298;4550;216;16708;5681;A321;D-AIRH;1373788347;MUC;LHR;LH2472;0;0;DLH9LT;0
19480306;24936159;3958344;48.3637;11.667;298;4550;216;16708;5681;A321;D-AIRH;1373788352;MUC;LHR;LH2472;0;0;DLH9LT;0
19480729;24936159;3958344;48.368;11.6555;300;4780;224;16708;5681;A321;D-AIRH;1373788357;MUC;LHR;LH2472;0;0;DLH9LT;0
19481163;24936159;3958344;48.3709;11.6481;300;4930;228;16708;5681;A321;D-AIRH;1373788362;MUC;LHR;LH2472;0;0;DLH9LT;0
19481980;24936159;3958344;48.3737;11.6409;300;5100;232;16708;5681;A321;D-AIRH;1373788372;MUC;LHR;LH2472;0;0;DLH9LT;0
19482567;24936159;3958344;48.3781;11.6295;300;5350;232;16708;5734;A321;D-AIRH;1373788382;MUC;LHR;LH2472;0;0;DLH9LT;0
19483157;24936159;3958344;48.3787;11.6281;300;5400;240;16708;5734;A321;D-AIRH;1373788392;MUC;LHR;LH2472;0;0;DLH9LT;0
19484301;24936159;3958344;48.3911;11.5971;302;6200;252;16708;5734;A321;D-AIRH;1373788407;MUC;LHR;LH2472;0;0;DLH9LT;0
