action-code;filename;flightId;departureCode;arrivalCode;firstEventDateTime;lastEventDateTime;predictionDateTime;latitude;longitude;speed;altitude;distLeft;distGain;dspeed;dalt;anomaly;distance;severity;diversionDetected;firstAlert
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:07:04+02:00;36.944000;30.798700;164;2280;;;;;;0.000000;0.000000;;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:11:04+02:00;37.205200;30.835500;292;8530;;;;;;0.000000;0.000000;;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:15:33+02:00;37.651500;30.899000;404;16100;0.00241552111907;1.25316953987e-08;3.73662305627e-06;7.13677448707e-06;True;-0.002019;-0.002019;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:23:53+02:00;38.662400;30.932100;0;25430;0.0136814598346;1.3115178947e-07;-2.3282887078e-05;5.23066064141e-06;True;-0.045851;-0.047870;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:27:53+02:00;39.150800;30.695700;464;29300;0.038225665083;2.84867748938e-07;2.32126276695e-05;1.64138258872e-06;False;0.039919;-0.007951;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:31:53+02:00;39.634600;30.457100;464;32000;0.0626945019786;2.8399300018e-07;0.0;1.02241590061e-06;False;0.285692;0.277741;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:35:53+02:00;40.124700;30.211400;468;34000;0.0875917362587;2.88965114672e-07;9.96250114569e-08;7.0341295968e-07;False;0.348165;0.625906;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:39:53+02:00;40.613400;29.962600;464;34000;0.112502456435;2.89121636212e-07;-9.96250114569e-08;0.0;False;0.359232;0.985139;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:43:53+02:00;41.097900;29.712000;464;34000;0.137286079642;2.87646508908e-07;0.0;0.0;False;0.416578;1.401717;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:47:53+02:00;41.588600;29.454200;472;34000;0.162463978561;2.92222596545e-07;1.98398527089e-07;0.0;False;0.450735;1.852452;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:51:53+02:00;42.081000;29.190900;472;34000;0.187836816748;2.94485122884e-07;0.0;0.0;False;0.466839;2.319290;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:55:53+02:00;42.447500;28.803100;444;34000;0.220292377608;3.76689425017e-07;-7.09556304306e-07;0.0;False;0.305559;2.624850;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 05:59:53+02:00;42.823700;28.334400;440;34030;0.258328243469;4.41456196168e-07;-1.05034514341e-07;1.02363491119e-08;False;0.343725;2.968575;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:03:53+02:00;43.181400;27.880900;448;34000;0.294705768537;4.2220897247e-07;2.09122771797e-07;-1.02363491119e-08;False;0.347590;3.316164;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:07:54+02:00;43.564700;27.431500;448;34030;0.330735081765;4.1817237001e-07;0.0;1.02364679196e-08;False;0.298043;3.614207;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:12:04+02:00;43.942200;26.991600;440;33950;0.365670436143;4.05517752496e-07;-2.09147046059e-07;-2.73201790086e-08;False;0.229998;3.844206;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:16:28+02:00;44.348300;26.537900;444;34030;0.401496406613;4.1592331279e-07;1.05063780018e-07;2.73246194575e-08;False;0.230474;4.074680;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:20:54+02:00;44.802800;26.035400;448;34030;0.440751301172;4.55742152445e-07;1.04123921628e-07;0.0;False;0.176189;4.250870;False;
div-check;24643263.xml;4954198;AYT;ARN;2013-07-11 05:07:04+02:00;2013-07-11 09:01:54+02:00;2013-07-11 06:24:54+02:00;45.195400;25.592800;452;34000;0.474836691679;3.95605739401e-07;1.03167234086e-07;-1.02363491119e-08;False;0.178093;4.428963;False;
