"Trajectory";"datetime";"latitude";"longitude";"speed";"altitude";"distLeft";"distGain";"dspeed";"dalt";"anomaly";"diversion";"trulydiv"
"24845690.xml";"2013-07-13 07:37:56+0200";"51.142500";"-0.236200";164;1350;;;;;;"True";1
"24845690.xml";"2013-07-13 07:37:56+0200";"51.142500";"-0.236200";164;1350;"0.006756";"0.000000";"0.000002";"0.000008";"True";"True";1
"24845690.xml";"2013-07-13 07:39:56+0200";"51.195900";"-0.290500";240;4500;"0.027262";"0.000000";"0.000003";"0.000005";"True";"True";1
"24845690.xml";"2013-07-13 07:41:31+0200";"51.199000";"-0.112500";280;9530;"0.049513";"0.000000";"0.000001";"0.000003";"False";"True";1
"24845690.xml";"2013-07-13 07:43:31+0200";"51.172500";"0.177500";348;14680;"0.074405";"0.000000";"0.000001";"0.000002";"False";"True";1
"24845690.xml";"2013-07-13 07:45:31+0200";"51.164700";"0.485800";372;19350;"0.099957";"0.000000";"0.000001";"0.000002";"False";"True";1
"24845690.xml";"2013-07-13 07:47:31+0200";"51.195000";"0.819700";400;23380;"0.126795";"0.000000";"0.000001";"0.000001";"False";"True";1
"24845690.xml";"2013-07-13 07:49:31+0200";"51.151500";"1.182900";428;26900;"0.153927";"0.000000";"0.000000";"0.000001";"False";"True";1
"24845690.xml";"2013-07-13 07:51:31+0200";"51.099100";"1.565300";448;29880;"0.180018";"0.000000";"-0.000001";"0.000001";"True";"True";1
"24845690.xml";"2013-07-13 07:53:31+0200";"51.045800";"1.951000";452;32850;"0.209272";"0.000000";"0.000000";"0.000000";"False";"True";1
"24845690.xml";"2013-07-13 07:55:31+0200";"51.008900";"2.317500";424;35730;"0.236308";"0.000000";"0.000000";"0.000000";"False";"True";1
"24845690.xml";"2013-07-13 07:57:31+0200";"51.055400";"2.707100";424;37000;"0.264503";"0.000000";"0.000000";"0.000000";"False";"True";1
"24845690.xml";"2013-07-13 07:59:31+0200";"51.096600";"3.068200";428;37000;"0.291973";"0.000000";"0.000000";"0.000000";"False";"True";1
"24845690.xml";"2013-07-13 08:01:31+0200";"51.138600";"3.445600";428;37000;"0.319655";"0.000000";"0.000000";"0.000000";"False";"True";1
"24845690.xml";"2013-07-13 08:03:31+0200";"51.178500";"3.814100";428;37000;"0.346862";"0.000000";"0.000000";"-0.000000";"False";"True";1
"24845690.xml";"2013-07-13 08:05:31+0200";"51.216900";"4.186400";428;37000;"0.374912";"0.000000";"-0.000000";"-0.000001";"False";"True";1
"24845690.xml";"2013-07-13 08:07:31+0200";"51.254400";"4.552900";428;36980;"0.387651";"0.000000";"-0.000000";"-0.000001";"True";"True";1
"24845690.xml";"2013-07-13 08:09:31+0200";"51.289500";"4.932000";424;34600;"0.407909";"0.000000";"-0.000001";"-0.000001";"True";"True";1
"24845690.xml";"2013-07-13 08:10:31+0200";"51.304000";"5.104600";412;32680;"0.414434";"0.000000";"0.000001";"-0.000001";"True";"True";1
"24845690.xml";"2013-07-13 08:12:03+0200";"51.335900";"5.377700";372;30030;"0.408883";"-0.000000";"-0.000000";"-0.000005";"True";"True";1
"24845690.xml";"2013-07-13 08:14:03+0200";"51.524400";"5.434200";404;28450;"0.395630";"-0.000000";"-0.000001";"-0.000007";"True";"True";1
"24845690.xml";"2013-07-13 08:16:03+0200";"51.729400";"5.320400";396;18850;"0.383976";"-0.000000";"-0.000004";"-0.000009";"True";"True";1
"24845690.xml";"2013-07-13 08:17:58+0200";"51.885300";"5.107200";372;9980;"0.375759";"-0.000000";"-0.000002";"-0.000006";"True";"True";1
"24845690.xml";"2013-07-13 08:19:58+0200";"52.022500";"4.918400";272;4480;"0.376210";"0.000000";"-0.000004";"-0.000009";"Diversion predicted!";"True";1
"24845690.xml";"2013-07-13 08:21:58+0200";"52.121000";"4.784200";224;2550;"0.377348";"0.000000";"-0.000003";"-0.000022";"True";"True";1
# All timings were replaced in this way: +02:00 -> +0200
