"Trajectory"	"datetime"	"latitude"	"longitude"	"speed"	"altitude"	"distLeft"	"distGain"	"dspeed"	"dalt"	"anomaly"	"diversion"	"trulydiv"
"24845690.xml"	"2013-07-13 07:37:56+02:00"	"51.142500"	"-0.236200"	164	1350						"True"	1
"24845690.xml"	"2013-07-13 07:37:56+02:00"	"51.142500"	"-0.236200"	164	1350	"0.074405"	"0.000001"	"0.000002"	"0.000008"	"False"	"True"	1
"24845690.xml"	"2013-07-13 07:42:31+02:00"	"51.185500"	"0.019800"	328	11650	"0.140996"	"0.000001"	"0.000001"	"0.000003"	"False"	"True"	1
"24845690.xml"	"2013-07-13 07:47:31+02:00"	"51.195000"	"0.819700"	400	23380	"0.209272"	"0.000001"	"-0.000001"	"0.000002"	"True"	"True"	1
"24845690.xml"	"2013-07-13 07:52:31+02:00"	"51.071600"	"1.767200"	452	31380	"0.277888"	"0.000001"	"0.000000"	"-0.000000"	"False"	"True"	1
"24845690.xml"	"2013-07-13 07:57:31+02:00"	"51.055400"	"2.707100"	424	37000	"0.346862"	"0.000001"	"0.000000"	"0.000000"	"False"	"True"	1
"24845690.xml"	"2013-07-13 08:02:31+02:00"	"51.158000"	"3.625100"	428	36980	"0.407909"	"0.000001"	"-0.000002"	"-0.000002"	"True"	"True"	1
"24845690.xml"	"2013-07-13 08:07:31+02:00"	"51.254400"	"4.552900"	428	36980	"0.402432"	"-0.000000"	"0.000000"	"-0.000008"	"True"	"True"	1
"24845690.xml"	"2013-07-13 08:12:03+02:00"	"51.335900"	"5.377700"	372	30030	"0.375759"	"-0.000000"	"-0.000006"	"-0.000016"	"True"	"True"	1
"24845690.xml"	"2013-07-13 08:16:58+02:00"	"51.804800"	"5.216900"	384	14630	"0.377348"	"0.000000"	"-0.000006"	"-0.000023"	"Diversion predicted!"	"True"	1
