Trajectory;datetime;latitude;longitude;speed;altitude;distLeft;distGain;dspeed;dalt;anomaly;diversion;trulydiv
24980875-toFrankfurt.xml;2013-07-14 22:03:15+0200;43.660900;7.222000;156;130;-0.076031;-0.000002;0.000002;0.000009;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:05:15+0200;43.594200;7.291500;256;4650;-0.096884;-0.000000;0.000002;0.000004;False;True;1
24980875-toFrankfurt.xml;2013-07-14 22:07:15+0200;43.632500;7.113500;308;10880;-0.159195;-0.000001;0.000001;0.000005;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:08:45+0200;43.735900;7.082700;352;14850;-0.194287;-0.000000;0.000000;0.000002;False;True;1
24980875-toFrankfurt.xml;2013-07-14 22:11:51+0200;44.078500;6.989100;380;23030;-0.233961;-0.000000;0.000001;0.000001;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:13:51+0200;44.274400;6.935800;384;27180;-0.274327;-0.000000;-0.000000;0.000001;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:15:51+0200;44.495500;6.875100;404;30250;-0.315494;-0.000000;0.000001;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:17:51+0200;44.718500;6.812900;400;33550;-0.359893;-0.000001;0.000000;0.000001;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:19:51+0200;44.944100;6.749000;436;34700;-0.402839;-0.000000;-0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:21:51+0200;45.187000;6.679500;440;36650;-0.446233;-0.000001;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:23:51+0200;45.421200;6.611700;436;37980;-0.490629;-0.000001;-0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:25:51+0200;45.660200;6.542500;444;37980;-0.534302;-0.000001;0.000000;-0.000000;Diversion predicted!;True;1
24980875-toFrankfurt.xml;2013-07-14 22:27:51+0200;45.903400;6.471100;440;37980;-0.577456;-0.000001;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:29:51+0200;46.143000;6.400200;444;37950;-0.621309;-0.000001;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:31:51+0200;46.379600;6.329500;444;37980;-0.664760;-0.000001;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:33:51+0200;46.619700;6.257000;444;37980;-0.669090;-0.000000;-0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:35:51+0200;46.857300;6.184500;444;38000;-0.663888;0.000000;-0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:37:51+0200;47.104600;6.167200;432;37980;-0.658445;0.000000;-0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:39:51+0200;47.340600;6.164000;428;37980;-0.653340;0.000000;-0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:41:51+0200;47.576200;6.161100;420;38000;-0.648296;0.000000;-0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:43:51+0200;47.799700;6.158200;408;37980;-0.642966;0.000000;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:45:51+0200;48.026400;6.155000;404;37930;-0.637785;0.000000;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:47:51+0200;48.250000;6.152300;412;38000;-0.664778;-0.000000;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:49:51+0200;48.482400;6.148900;412;38000;-0.720980;-0.000001;-0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:51:51+0200;48.701200;6.098300;416;38000;-0.775035;-0.000001;0.000000;0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:53:51+0200;48.924900;6.003400;412;37950;-0.832462;-0.000001;0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:55:51+0200;49.139700;5.911300;416;38000;-0.889780;-0.000001;0.000000;-0.000000;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:57:51+0200;49.368500;5.812500;416;37980;-0.947293;-0.000001;0.000000;-0.000001;True;True;1
24980875-toFrankfurt.xml;2013-07-14 22:59:51+0200;49.595500;5.713000;420;37830;-1.006223;-0.000001;0.000000;-0.000002;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:01:51+0200;49.824600;5.612100;432;34900;-1.071269;-0.000001;-0.000001;-0.000003;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:03:51+0200;50.058800;5.507700;436;28430;-1.149612;-0.000001;-0.000001;-0.000003;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:05:51+0200;50.284600;5.393400;416;22850;-1.221325;-0.000001;-0.000001;-0.000004;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:07:51+0200;50.491300;5.258800;384;17530;-1.255461;-0.000000;-0.000001;-0.000002;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:09:51+0200;50.680700;5.134500;352;12280;-1.312552;-0.000001;-0.000003;-0.000002;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:10:51+0200;50.770400;5.075000;332;10480;-1.420904;-0.000001;-0.000000;-0.000005;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:12:44+0200;50.904300;4.976200;264;8580;-1.524261;-0.000001;-0.000002;-0.000006;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:14:44+0200;50.993800;4.800500;256;5550;-1.586517;-0.000001;-0.000003;-0.000007;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:16:39+0200;51.079800;4.632200;208;3250;-1.610860;-0.000000;-0.000003;-0.000017;True;True;1
24980875-toFrankfurt.xml;2013-07-14 23:18:39+0200;51.009100;4.541200;164;1750;-1.614673;-0.000000;0.000000;-0.000016;True;True;1
