trackId,flightCode,origin,destination,flightTime,commercial,stopFlightTime
24559131,5X4,CGN,DXB,07:45:00,UPS,03:00:00
24610218,FQ1992,BRU,KGS,04:00:00,,01:20:00
24613132,MT6014,NCL,NBE,04:15:00,,01:50:00
24643263,FH839,AYT,ARN,05:50:00,,03:35:00
24643747,HV1847,AMS,GRO,03:48:00,,03:48:00
24652909,TK1661,IST,HAM,05:10:00,,03:40:00
24686477,OM136,TXL,ULN,09:00:00,,02:45:00
24690376,3O2114,BRU,CMN,02:00:00,,02:00:00
24711371,5X291,HEL,CGN,03:20:00,UPS,01:20:00
24729298,5O701,CDG,MRS,01:00:00,,01:00:00
24738444,FH805,AYT,BLL,06:30:00,,01:10:00
24740978,CD513,AMS,SSH,05:30:00,,04:30:00
24767743,BY126,MAN,SFB,09:35:00,Thomson,09:35:00
24780055,HV1673,AMS,FAO,03:45:00,,03:00:00
24785369,BA815,CPH,LHR,01:45:00,,01:45:00
24786232,SK1517,CPH,LHR,02:00:00,,02:00:00
24787250,BA1453,EDI,LHR,01:20:00,,01:20:00
24788175,BA837,DUB,LHR,01:30:00,,01:30:00
24791773,BA397,BRU,LHR,01:00:00,,01:00:00
24855206,SK7906,SZG,GOT,02:15:00,,02:15:00
24869930,OS9701,VIE,AYT,02:15:00,,02:15:00
24871421,XC677,AYT,SFT,04:30:00,,04:30:00
24877765,FH463,AYT,KUO,06:00:00,,02:45:00
24887894,U28793,LGW,RHO,04:00:00,,04:00:00
24893847,FR6601,EMA,PMI,02:30:00,,02:30:00
24903719,5O9228,HER,BSL,02:45:00,Europe Airpost,00:50:00
24923099,TK6327,IST,MJI,03:30:00,,03:30:00
24931662,KL1867,AMS,STR,01:00:00,,01:00:00
24936159,LH2472,MUC,LHR,02:00:00,,02:00:00
24939815,AF1930,ORY,FCO,01:45:00,,01:45:00
24953876,DY144,TRD,KRS,01:25:00,,01:25:00
24958582,SN3205,BRU,VCE,01:40:00,,01:40:00
24959354,AF1158,CDG,NCL,01:15:00,,01:15:00
24960571,R29766,HER,DME,03:55:00,,03:55:00
24981143,LH1648,MUC,GDN,01:05:00,,01:05:00
25002881,NLY2059,SKG,VIE,01:55:00,,01:55:00
25011286,OR625,AMS,FUE,04:45:00,,04:45:00
