filenameNoXml,origin,destination,flightTime
1I2812013729,CLE,ORD,01:00:00
9E37642013721,ABE,ATL,02:11:00
9E38772013720,XNA,ATL,03:50:00
DL12222013714,SLC,ATL,05:40:00
DL14992013717,LGA,ATL,02:38:00
DL15582013724,TPA,LAX,01:55:00
DL6762013721,LAS,ATL,07:01:00
DL9102013714,DFW,ATL,03:00:00
EV322013720,RIC,ATL,01:15:00
EV38542013717,EWR,ATL,02:32:00
EV41012013717,IAH,ATL,03:15:00
EV41402013720,EWR,ATL,03:21:00
FX18402013726,SEA,LAX,02:22:00
G494212013726,GJT,LAX,00:37:00
HA342013616,OGG,LAX,08:10:00
KL6042013719,DTW,AMS,10:00:00
LH451201372,JFK,FRA,09:10:00
SQC79562013727,ANC,ORD,
UA1392013619,DEN,NRT,02:55:00
UA4632013720,LAX,ORD,05:59:00
VX3372013722,FLL,LAX,02:25:00
1I9432013811,DRO,,
9E3734201382,CVG,ORD,02:06:00
AA2201388,LAX,JFK,08:40:00
AX3414201382,ROA,ORD,00:50:00
CA982201388,JFK,PEK,24:30:00
CI5397201382,MIA,SFO,02:50:00
DL615201381,ATL,CDG,06:31:00
EV3811201382,ORF,ORD,01:13:00
EV4368201382,CLT,ORD,01:08:00
EV4703201382,MCI,ORD,01:28:00
EV5700201382,CAE,ORD,01:11:00
EV5946201382,BHM,ORD,02:07:00
EV5987201382,TYS,ORD,00:41:00
EV6027201382,CVG,ORD,00:38:00
LH471201382,YYZ,FRA,13:45:00
OO63292013811,SFO,ACV,01:21:00
UA1155201382,CLE,ORD,00:59:00
UA207201383,EWR,SFO,03:01:00
UA605201382,DCA,ORD,00:59:00
VS7201388,LHR,LAX,15:20:00
VX69201382,IAD,SFO,02:45:00
XOJ549201382,TEB,MDW,01:42:00
